month,day,data,median,LB,UB
2,27,1,1,1,1
2,28,0,4.38015560326663,-0,545.040967650045
2,29,1,8.16287223425734,-0,546.711442018691
3,1,0,1.13394551497909,-0,539.70241323302
3,2,5,10.1534214442426,-0,534.546779097174
3,3,1,1.06099822505798,-0,532.416816316494
3,4,4,-0.392072153930245,-0,530.510410389815
3,5,1,9.09128680013881,-0,536.281791492387
3,6,2,12.6422686058369,-0,528.066387204238
3,7,3,23.8883640068195,-0,561.779064624005
3,8,4,20.8003551305793,-0,561.262601475001
3,9,2,31.1443820408254,-0,550.799341380689
3,10,5,34.7616084925267,-0,571.587278896318
3,11,5,46.6434555230979,-0,595.142436827625
3,12,11,57.4053949562158,-0,585.985825611936
3,13,7,62.3978129555134,-0,593.542140093147
3,14,9,96.3869422954268,-0,610.678831735786
3,15,11,115.187909180719,-0,649.283529168428
3,16,25,124.9606295037,-0,668.233076813287
3,17,36,154.411348288412,-0,678.711824308217
3,18,65,185.574004272338,-0,716.054292066043
3,19,75,212.460610570908,-0,765.469668100903
3,20,105,260.263052470615,-0,790.773940845877
3,21,104,309.940278835956,-0,818.408123920818
3,22,121,355.943692622326,-0,881.045159390396
3,23,187,396.239761766559,-0,939.984342987447
3,24,243,461.98492172469,-0,1014.88311101601
3,25,333,526.221716064926,-0,1071.96167816462
3,26,417,600.351310443807,43.9547553956313,1123.30185296672
3,27,522,676.246967073473,125.183335648321,1205.72333726195
3,28,713,764.980299950304,244.162469988309,1299.23141489431
3,29,555,850.778015694573,307.850109729658,1384.38847541167
3,30,707,937.627246445197,392.247066363483,1470.42671715999
3,31,1079,1043.31800614385,507.830312479618,1592.21297858744
4,1,1252,1149.12267092056,611.902477104177,1683.02770196478
4,2,1531,1250.29622057916,704.70351420542,1794.34342378946
4,3,1420,1372.96124491316,829.567119157411,1903.48201084843
4,4,1603,1477.36398729502,929.667269016993,2020.97646323521
4,5,1616,1586.04296215098,1044.32270773203,2149.39330424368
4,6,1742,1692.48578221863,1160.3925396461,2241.78060334279
4,7,2576,1805.42138059201,1244.71272492842,2351.32127365811
4,8,2150,1907.48091621293,1352.88762488521,2464.95652778487
4,9,2214,2002.19804591728,1459.6138969351,2545.57939297765
4,10,2187,2090.93270399845,1557.41137052948,2637.63486075895
4,11,2136,2168.842908951,1618.32763002816,2724.30312388063
4,12,1889,2232.92675047289,1689.73583786346,2787.51329677358
4,13,1985,2277.95369033943,1738.30682125566,2827.5431923973
4,14,2473,2330.29440044147,1785.42097401177,2869.71515338584
4,15,2598,2358.89278241475,1812.84322430355,2892.01832626502
4,16,2183,2372.22810735216,1837.54654853034,2890.94781930081
4,17,2095,2372.45340881254,1822.44115050779,2908.00957870293
4,18,1946,2346.97744768083,1812.32673430779,2885.72833495254
4,19,1980,2326.67501816899,1798.15462247805,2849.88739010994
4,20,2245,2294.48213711693,1744.37200166088,2825.01014062011
4,21,2482,2226.31087972378,1690.02158302351,2766.80181346922
4,22,2467,2178.87859409162,1637.89487672836,2711.53703922027
4,23,2414,2110.2393857952,1546.6015307531,2650.46670200042
4,24,2169,2033.36001797298,1480.33546475552,2564.49199047724
4,25,1734,1940.55622219712,1388.47774127509,2484.49360589733
4,26,1406,1852.3275531894,1313.5658543529,2403.49020862548
4,27,1480,1777.89981098805,1230.4843229712,2347.12771211029
4,28,2244,1719.19112227081,1141.15789253556,2385.89903374634
4,29,2392,1844.07183295758,1202.4608291148,2490.92072928231
4,30,2191,1970.61322134732,1317.42297547831,2543.65826746211
5,1,1908,1946.13707795239,1350.84831738446,2524.62905839219
5,2,1743,1882.72647561621,1305.42347766903,2455.32886226864
5,3,1203,1821.24378503083,1280.10141150987,2375.62760526045
5,4,1358,1753.97708246419,1203.77374298146,2316.83954780315
5,5,2221,1684.12543441818,1137.65685657718,2231.040756045
5,6,2322,1618.50534840212,1055.43617950121,2180.17302805709
5,7,1915,1558.40795877091,1000.53815241518,2107.31338773675
5,8,1771,1480.78415032586,932.416605586115,2041.44925538879
5,9,1466,1429.77792338774,873.15312595801,1978.8740484556
5,10,1000,1375.87039531809,818.610889649246,1947.79942865455
5,11,1035,1314.40532144871,756.666760220475,1872.66288256582
5,12,NaN,1257.95440675321,688.808883413905,1830.29954668978
5,13,NaN,1216.41572953304,654.613269695629,1778.63619375741
5,14,NaN,1173.71009806988,578.137246415349,1746.17489806601
5,15,NaN,1136.08779270242,556.112253071103,1696.56797059851
5,16,NaN,1090.82542403908,516.904781843177,1655.89677383132
5,17,NaN,1055.58735365236,480.395921847894,1636.8599480111
5,18,NaN,1018.94070276146,457.162704483224,1587.75485389833
5,19,NaN,982.829107444156,415.596887624906,1580.00796245598
5,20,NaN,960.094939347575,385.528156571254,1560.05196076416
5,21,NaN,936.913152645736,344.327516876725,1494.54293158123
5,22,NaN,905.810826553792,319.667479261322,1487.58033166749
5,23,NaN,886.191516568499,302.985099608122,1470.5897735452
5,24,NaN,864.466092311201,257.676741984653,1439.48856317569
5,25,NaN,841.30123295077,262.847985104622,1412.87393027111
5,26,NaN,827.906530035574,237.14707569356,1390.19115345467
5,27,NaN,795.038105860154,235.638043749138,1396.60321280202
5,28,NaN,794.653615060417,214.802249225569,1366.19211794026
5,29,NaN,766.6085011137,188.843257122968,1352.75019479619
5,30,NaN,747.996759264748,169.418923175175,1333.66761322236
5,31,NaN,737.942410724085,176.625758965856,1335.84397974393
6,1,NaN,728.759934047035,155.138580436984,1314.47894223139
6,2,NaN,706.99412389935,132.61825490122,1286.23577403105
6,3,NaN,700.020132925977,116.089893004637,1268.43743570115
6,4,NaN,699.758543799624,107.240388193441,1262.23665553841
6,5,NaN,682.056421145877,93.8740880585908,1271.54931432419
6,6,NaN,671.381726036908,97.3060586231107,1246.91360040732
6,7,NaN,671.149952462988,90.2788929513111,1244.03096405592
6,8,NaN,660.35137202237,81.8895141896143,1216.47352684841
6,9,NaN,650.249323277941,80.0135028924548,1219.06676710765
6,10,NaN,635.799144926362,57.8745245602772,1201.32275025234
