month,day,data,median,LB,UB
2,27,1,1,1,1
2,28,0,-3.96797314121819,-0,527.984842403717
2,29,1,6.91069711677342,-0,535.179127730822
3,1,0,-4.05905523571199,-0,511.125116692802
3,2,5,1.75307308423083,-0,546.06274261046
3,3,1,8.56764266207178,-0,553.793095143589
3,4,4,4.32730224913081,-0,527.182521692674
3,5,1,-1.62442564636955,-0,542.761562048203
3,6,2,16.0277827764966,-0,551.243291581013
3,7,3,16.3579652630188,-0,548.056368597448
3,8,4,22.0993160788092,-0,554.394448695174
3,9,2,36.7709477090771,-0,579.267590902019
3,10,5,40.8481864038802,-0,575.365302559325
3,11,5,44.5481624106877,-0,570.837791703967
3,12,11,60.5395706936533,-0,573.154406172269
3,13,7,70.0597026554934,-0,610.575733032032
3,14,9,86.7330783053601,-0,624.712267642466
3,15,11,109.560709524835,-0,641.516192185512
3,16,25,125.993506045723,-0,654.843581763016
3,17,36,154.123901865606,-0,686.169140330095
3,18,65,191.843776261085,-0,706.002385198128
3,19,75,223.17955710007,-0,749.415909125822
3,20,105,256.081270374457,-0,777.783763536293
3,21,104,296.597668335986,-0,842.014492552474
3,22,121,348.874997746983,-0,892.124320735823
3,23,187,400.537058191619,-0,932.392490174522
3,24,243,461.566183489223,-0,988.238331129627
3,25,333,526.404824610795,-0,1052.09030920064
3,26,417,598.037592000522,40.469840786776,1125.65034837467
3,27,522,672.37891197035,153.132866944047,1231.87801982138
3,28,713,760.290932516655,226.927025798243,1295.99593640773
3,29,555,860.044712039182,332.142070868333,1398.6445725094
3,30,707,953.5205137049,392.470811457738,1484.07984340225
3,31,1079,1048.57222203261,507.214645448909,1593.61500907142
4,1,1252,1149.69716697315,608.586488080731,1699.04577487629
4,2,1531,1260.29883342756,706.387823234226,1803.10680948311
4,3,1420,1369.14637939714,815.376105936312,1915.64510110418
4,4,1603,1478.28393599616,933.816350179277,2026.04273095032
4,5,1616,1593.0405910933,1058.56779085346,2146.33813139414
4,6,1742,1703.77770181995,1172.7716278077,2266.48685692082
4,7,2576,1807.03602876453,1240.58018196606,2350.05444982853
4,8,2150,1916.25021760982,1371.36374548585,2478.37851304101
4,9,2214,2007.42685232015,1457.39865514739,2553.18446023646
4,10,2187,2087.89121310895,1545.83872572143,2643.37771213256
4,11,2136,2166.35545418398,1611.83715983493,2720.18380503016
4,12,1889,2239.69927086051,1689.83122337238,2774.49519296851
4,13,1985,2287.52971678465,1755.33116623225,2828.14091900353
4,14,2473,2325.6336838776,1782.67029195487,2866.42617165507
4,15,2598,2353.99508057466,1806.84832432639,2902.88799114043
4,16,2183,2368.82007680426,1816.66296992602,2924.2550370889
4,17,2095,2367.78525646132,1834.26140848021,2902.12027295688
4,18,1946,2349.87874292079,1810.51594514925,2894.59900465562
4,19,1980,2330.06868823183,1786.00915821248,2874.59237697395
4,20,2245,2284.50819313339,1730.58664826465,2823.30733881417
4,21,2482,2227.92282719431,1694.54693273166,2756.28216976264
4,22,2467,2173.31075291931,1629.08039604812,2710.66290918804
4,23,2414,2100.54276304013,1550.24677647771,2641.7896542353
4,24,2169,2029.12349231195,1471.3000877737,2571.65180665491
4,25,1734,1937.47372137367,1394.49063007783,2490.85459517033
4,26,1406,1848.9804231527,1300.91183327133,2390.34826005697
4,27,1480,1768.34296637073,1221.16715977215,2357.15942330667
4,28,2244,1721.75524276991,1143.8954858209,2376.4301703201
4,29,2392,1850.17245664826,1203.024766805,2509.34227989931
4,30,2191,1971.05353752857,1320.33120536166,2569.10818843146
5,1,1908,1947.8758198556,1353.93427444996,2522.30683963526
5,2,1743,1890.46588098803,1322.99074926967,2449.39792145485
5,3,1203,1819.4846336513,1269.85678589916,2365.33061350218
5,4,1358,1752.84912824733,1201.34428636913,2305.50611679156
5,5,2221,1683.4123298774,1140.44531894625,2238.3893776801
5,6,2322,1614.34935430724,1049.77098523716,2169.43274084145
5,7,1915,1543.94170984302,998.486268102577,2098.51305927951
5,8,1771,1483.76872678233,944.733199703938,2041.85616774903
5,9,1466,1427.67825055204,868.792029508223,1991.79230843695
5,10,1000,1371.95082931667,797.40981896442,1933.14154247334
5,11,1035,1312.02892910496,754.674050888808,1886.86260887024
5,12,NaN,1261.20276868937,700.70935678073,1836.32457749612
5,13,NaN,1223.57669857079,658.405240709588,1787.48430561347
5,14,NaN,1174.2956131302,600.697714235559,1737.51762008345
5,15,NaN,1128.06535687809,562.51316078176,1699.27310014976
5,16,NaN,1090.6834937013,517.857893814995,1662.18156294378
5,17,NaN,1047.18961233616,487.534740886494,1630.4576585311
5,18,NaN,1010.68627675838,427.613380757773,1610.47867113169
5,19,NaN,979.993330371173,405.040318451575,1550.04426479637
5,20,NaN,954.5789168839,380.584899548712,1538.37516982159
5,21,NaN,925.451379895107,347.339500347726,1526.66519694552
