year,month,day,data,median,LB,UB
2020,2,27,1,1,1,1
2020,2,28,0,-3.91410230902581,-0,524.895455989154
2020,2,29,1,0.30169613049051,-0,533.342213487752
2020,3,1,0,-0.483889100657785,-0,532.98872847572
2020,3,2,5,5.13052072315581,-0,529.159292806248
2020,3,3,1,10.8091722760165,-0,521.298614341949
2020,3,4,4,16.212132734315,-0,524.45777962964
2020,3,5,1,9.99935406979792,-0,529.998881182484
2020,3,6,2,12.62336405576,-0,527.317174551635
2020,3,7,3,9.93889384591816,-0,529.827342189481
2020,3,8,4,16.6355655602529,-0,531.312867639217
2020,3,9,2,23.0320942475841,-0,543.397539782968
2020,3,10,5,40.0496662892086,-0,562.296892604202
2020,3,11,5,47.9766827370665,-0,553.721679847436
2020,3,12,11,61.6535209386576,-0,580.015391932764
2020,3,13,7,68.8745626744785,-0,577.784296453236
2020,3,14,9,81.1838335127515,-0,599.547203715489
2020,3,15,11,100.016174743928,-0,627.112231327058
2020,3,16,25,124.926614922749,-0,632.999652137862
2020,3,17,36,144.974897423223,-0,679.766079140725
2020,3,18,65,172.219129823381,-0,694.461109885014
2020,3,19,75,201.902747358216,-0,724.65722985317
2020,3,20,105,241.958935860755,-0,782.036985598887
2020,3,21,104,283.402689545938,-0,816.666768107737
2020,3,22,121,333.684801565242,-0,850.997751337526
2020,3,23,187,384.298400349995,-0,905.102356827606
2020,3,24,243,439.135317401766,-0,977.414803434447
2020,3,25,333,507.679603552064,-0,1035.9030783222
2020,3,26,417,580.218308712155,51.9179137643707,1102.48090159944
2020,3,27,522,653.20155838136,130.758580935344,1185.37249044366
2020,3,28,713,738.193597020658,219.689127770413,1266.29643935151
2020,3,29,555,828.644656960268,292.972736748289,1353.50812254732
2020,3,30,707,916.700153513179,392.879427704017,1449.31930382844
2020,3,31,1079,1032.03690788807,490.326930481907,1549.95949088342
2020,4,1,1252,1136.53330725167,592.226476251667,1669.75485508195
2020,4,2,1531,1234.12310871291,688.074538105606,1773.71777487675
2020,4,3,1420,1346.53273872797,816.916858702,1899.42258868394
2020,4,4,1603,1467.2351905592,923.577842329598,2007.0247589279
2020,4,5,1616,1588.13915819296,1032.36392781728,2138.31357952409
2020,4,6,1742,1693.1196253473,1148.9383355879,2238.96060428443
2020,4,7,2576,1803.16605824089,1253.86425965648,2349.87896272285
2020,4,8,2150,1912.45724976165,1366.8451598877,2465.2340166324
2020,4,9,2214,2019.83431047621,1470.28071594229,2561.08892183943
2020,4,10,2187,2104.70028873657,1567.15433778133,2645.97729604003
2020,4,11,2136,2196.07263842186,1656.77464656867,2734.34144690292
2020,4,12,1889,2271.64574791888,1725.08352661845,2799.87203825526
2020,4,13,1985,2329.6979066101,1811.15534183344,2849.90952776177
2020,4,14,2473,2362.68409818633,1826.16538215712,2887.67230834813
2020,4,15,2598,2410.04511378389,1873.58174622422,2922.30515539995
2020,4,16,2183,2429.98771649291,1902.57767084743,2960.26463000586
2020,4,17,2095,2433.69304523169,1904.46573552982,2977.27979912198
2020,4,18,1946,2432.86774772954,1900.41732928179,2970.81819733007
2020,4,19,1980,2405.41213285584,1875.49438232398,2936.58078877011
2020,4,20,2245,2373.32538099248,1848.59090912521,2899.90776651136
2020,4,21,2482,2315.56893002954,1807.83444658565,2841.44946247684
2020,4,22,2467,2257.56545839855,1729.84589470026,2785.94182852624
2020,4,23,2414,2196.17260678185,1670.13491950844,2721.92309298525
2020,4,24,2169,2119.20952628156,1575.93452676368,2648.8379047452
2020,4,25,1734,2044.54014433648,1502.36158971531,2577.6534817618
2020,4,26,1406,1950.30295817413,1417.23833970722,2505.28293817189
2020,4,27,1480,1883.87473903275,1328.1165912091,2472.94452666314
2020,4,28,2244,1953.02936412451,1359.11836699245,2578.07145102254
2020,4,29,2392,2042.80591542798,1449.42825232587,2606.99709741334
2020,4,30,2191,2022.88093280979,1454.69117517431,2581.31998961227
2020,5,1,1908,1967.14133409882,1395.9505358617,2518.45959931744
2020,5,2,1743,1902.34429727335,1374.73739093812,2447.26780446144
2020,5,3,1203,1829.17367935825,1291.59042549637,2372.91530114935
2020,5,4,1358,1762.00238441111,1204.17198574871,2313.95011887375
2020,5,5,2221,1689.07276895119,1147.50583686879,2227.57295314607
2020,5,6,2322,1622.69637502954,1079.39307769551,2172.95047806506
2020,5,7,1915,1560.83693647082,1009.28806512499,2116.06940059926
2020,5,8,1771,1501.75829815002,944.103364927078,2041.7983512859
2020,5,9,1466,1432.84950220695,890.778504141757,1980.48624027581
2020,5,10,1000,1380.95366120652,824.689226067459,1929.71037672983
2020,5,11,1035,1320.5910159551,767.968460952865,1877.90549638761
2020,5,12,1589,1264.31046783568,710.081861581189,1834.4387477964
2020,5,13,1735,1216.6851853959,648.482203827145,1784.51241943983
2020,5,14,1773,1168.39154857682,614.425548112975,1737.86369578919
2020,5,15,1665,1132.17776805374,561.116989765911,1697.94209704649
2020,5,16,1197,1086.10071445365,526.576636714115,1654.8272970819
2020,5,17,830,1059.38346193955,477.599710498463,1644.84945091455
2020,5,18,1220,1017.4384494427,458.34733227692,1595.83724506904
2020,5,19,1445,981.914411097023,422.010577838225,1568.11823829191
2020,5,20,1503,950.416337448564,373.616538406706,1535.37286653157
2020,5,21,1188,926.356443966202,356.233712151464,1523.02695576074
2020,5,22,1204,911.143184407753,347.864193861262,1496.8381337848
2020,5,23,1074,869.751268926683,301.844487751773,1470.69885682021
2020,5,24,641,848.47561084544,275.263709529197,1454.34281837789
2020,5,25,597,844.323792262915,261.656718689018,1430.48895040311
2020,5,26,657,825.150304485638,237.672303735628,1442.50803569217
2020,5,27,1479,798.832737878856,231.897164862491,1389.1327451213
2020,5,28,1089,782.950892869085,209.054009920507,1394.70731747023
2020,5,29,1117,775.292984181322,188.0519720852,1361.37455400506
2020,5,30,952,760.213426824626,178.460321553029,1350.95847854187
2020,5,31,621,746.111466456814,180.629030266167,1320.46516601262
2020,6,1,774,734.367593337562,148.134410351914,1320.234177321
2020,6,2,981,715.577883380796,144.668892963494,1310.65280057224
2020,6,3,1011,706.284692297306,140.546406160004,1293.76430567373
2020,6,4,1005,697.068884335257,112.485846058663,1292.1735429594
2020,6,5,880,693.431751646898,108.566221454604,1279.08044539543
2020,6,6,638,685.65414433,109.348309528863,1277.13931926211
2020,6,7,456,667.653470702339,105.449483240503,1243.02811098237
2020,6,8,512,658.910336626678,84.4343898608001,1237.97273242675
2020,6,9,918,656.575405852997,92.1031811648276,1222.81512791434
2020,6,10,872,647.495067739324,80.7553620724426,1230.21590467309
