month,day,data,median,LB,UB
2,27,1,1,1,1
2,28,0,-4.43158702289161,-0,539.882953068861
2,29,1,2.09214049720295,-0,532.569229416583
3,1,0,5.89768778578477,-0,532.246483430592
3,2,5,6.08774506139537,-0,531.161804391855
3,3,1,1.07135102981536,-0,522.227358352192
3,4,4,2.778214840433,-0,540.563024530029
3,5,1,4.69791172792118,-0,534.283718219669
3,6,2,5.38912303421257,-0,555.141747179598
3,7,3,18.8407204215502,-0,534.787933187093
3,8,4,18.4353490732694,-0,569.467670851051
3,9,2,25.3344457864531,-0,551.229662238549
3,10,5,36.6420643103659,-0,583.859027538528
3,11,5,46.8133007200731,-0,581.888105944967
3,12,11,57.898923063311,-0,583.228440906467
3,13,7,66.8656591517146,-0,615.441071771163
3,14,9,94.2797043522815,-0,631.507653192803
3,15,11,101.428747674423,-0,635.539207423387
3,16,25,131.288203046216,-0,658.796459940632
3,17,36,157.429540832501,-0,677.984067550741
3,18,65,183.490169815742,-0,713.647044092061
3,19,75,220.815671801178,-0,743.696580770191
3,20,105,245.338527830268,-0,799.292578619189
3,21,104,310.417955560483,-0,840.329930092594
3,22,121,349.798955583342,-0,890.243089558296
3,23,187,398.857084132803,-0,928.381383143122
3,24,243,457.190779450544,-0,982.412811149446
3,25,333,531.704690989606,-0,1060.17028964197
3,26,417,606.161162495367,65.9025731274876,1153.8374485221
3,27,522,674.035848291597,145.026673749177,1198.54862282406
3,28,713,754.974667584046,230.553304877792,1293.70424288298
3,29,555,848.565681520704,291.354100266052,1397.48619642034
3,30,707,947.644945590828,399.605263520511,1489.78395060175
3,31,1079,1043.17246203242,486.004593847145,1581.53037434605
4,1,1252,1140.90652254091,605.262803023118,1704.9841264345
4,2,1531,1255.53027533661,700.731014248839,1795.44156730147
4,3,1420,1359.23019416919,811.806209639141,1901.42055578253
4,4,1603,1468.97155287044,900.585207982991,2009.80400928352
4,5,1616,1580.16540696508,1028.81523663652,2123.09282617014
4,6,1742,1699.01689325806,1150.05596430571,2249.61327275969
4,7,2576,1803.34540894657,1242.1313189326,2348.58413982424
4,8,2150,1894.7513638975,1363.67389229101,2463.2746300541
4,9,2214,1997.54129556157,1449.69814665819,2540.70441168126
4,10,2187,2082.67920754756,1546.89572230473,2634.98830921202
4,11,2136,2166.75951138732,1605.08664058381,2692.41254610381
4,12,1889,2219.97386346632,1684.12573436509,2766.49444247708
4,13,1985,2275.88347008065,1707.14609273123,2825.8191148599
4,14,2473,2318.8235298346,1764.11189112388,2866.23136706957
4,15,2598,2339.78263506456,1788.467975369,2873.95919972922
4,16,2183,2355.48862354372,1811.90324833177,2898.29519303081
4,17,2095,2352.49352021886,1820.08296760934,2894.97227721474
4,18,1946,2336.31466803662,1797.91953403282,2882.70958590592
4,19,1980,2312.37797661185,1756.87761642016,2839.02392055859
